map,orbit_map,target_p,observable,xi_true,lambda,orbit_id,orbit_seed,k,i_star,series_len_m,N_k,mu_hat,sigma_hat,xi_hat,mu_star_hat,sigma_star_hat,n_S_all,S_all_min,S_all_max,segment,n_used,alpha,istar_rule
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,2,14099396388460244992,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,2,14099396388460244992,8,125.0,29993,239.0,1.470242436827966,0.04937474998918276,-0.6102942714205355,0.9742192443468685,0.018223908050954675,1,125.0,125.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,2,14099396388460244992,9,155.0,29992,193.0,1.4544660821821125,0.047699884004073274,-0.4385894208789123,1.072818860952875,0.01889662361478847,19,155.0,260.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,2,14099396388460244992,10,300.0,29991,99.0,1.4579750713307926,0.03789991909810228,-0.2866500579646848,1.1626353553675872,0.020499017705463324,41,300.0,510.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,1,35.0,30000,857.0,3.471198815315418,0.9930232388179314,0.39449944054318453,2.1222398298096374,0.46085967372019915,194,35.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,2,690.0,29999,43.0,1.929015208992305,0.0028715577045981175,-0.6688461109899513,1.8174197952102347,0.04875561185857107,6,690.0,870.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,3,,29998,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,8,,29993,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,9,145.0,29992,206.0,1.4553902938461158,0.04905487426316854,-0.4572077330481841,1.0624312505309368,0.018123242646790695,15,145.0,235.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,3,9787268291874484224,10,240.0,29991,124.0,1.4545711394801875,0.040498341729088866,-0.3582030582974547,1.1152193002234791,0.017345794938554204,69,240.0,710.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,1,15.0,30000,2000.0,2.7060421093864346,0.6897787903194522,0.4033624183419835,2.0938671348054805,0.44285041212403625,198,15.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,2,30.0,29999,999.0,1.8452387472643155,0.0696937680319102,-0.7909817294803312,1.5698270313219558,0.1661835915781995,7,30.0,930.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,3,35.0,29998,857.0,1.5733251735502822,0.03832901850052917,-0.8080750035664104,1.3922090420813977,0.06024495306677925,1,35.0,35.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,8,100.0,29993,299.0,1.4580132456072885,0.049331803706523264,-0.4776463005491177,1.1293251206227053,0.020326289772285448,9,100.0,145.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,9,145.0,29992,206.0,1.4474326888198452,0.034219770002565715,-0.07461398570963318,1.3164367838837459,0.029087342666466807,34,145.0,325.0,test,30000,0.01,min
